step,liquidatorOrders,liquidations,liquidatedPositionNotional,stepLiquidatorRewardsPaid,stepLiquidationPenaltyCollected,stepMarginReturnedFromLiquidation,stepInsuranceFundOutflow,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
269,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
270,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
271,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
272,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
273,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
274,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
275,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
276,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
277,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
278,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
279,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
280,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
281,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
282,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
283,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
284,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
285,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
286,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
287,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
288,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
289,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
290,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
291,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
292,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
293,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
294,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
295,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
296,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
