step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
99,2030.46,2221457.215844,399996.78097,999980.86152,0.0,0.167222,6,49,26,21,82,33,24,1,18.182,16.48,1.143,7.32,5.06,4.19,0
100,2034.46,2214792.89349,399996.537165,999980.717349,0.0,0.16872,8,50,27,15,85,47,34,1,17.021,16.80,1.143,6.31,4.98,3.37,0
101,2034.10,2208148.565326,399996.561564,999980.555925,0.0,0.170227,7,45,25,17,87,44,32,1,15.909,16.88,1.143,6.18,5.98,4.17,0
102,2031.35,2201524.201857,399996.448625,999980.342089,0.0,0.171719,8,50,26,16,85,28,20,1,28.571,16.68,1.143,7.70,4.73,3.65,0
103,2027.51,2194919.696052,399996.431214,999980.215285,0.0,0.173193,8,47,27,14,86,38,27,1,21.053,16.90,1.143,6.75,5.49,4.40,0
104,2026.32,2188334.983602,399996.25494,999980.0373,0.0,0.174649,8,47,25,18,88,43,31,1,18.605,16.74,1.143,6.94,5.51,3.95,0
105,2024.56,2181770.012472,399996.3147,999979.970842,0.0,0.176034,6,46,26,18,89,39,28,1,15.385,16.87,1.143,7.54,5.05,4.58,0
106,2023.81,2175224.789758,399996.173344,999979.768761,0.0,0.177528,7,45,25,19,89,37,27,1,18.919,17.10,1.143,7.02,6.75,3.06,0
107,2021.86,2168699.175832,399996.16274,999979.500351,0.0,0.178936,8,46,26,16,87,29,21,1,27.586,17.19,1.143,6.22,5.57,2.86,0
108,2024.39,2162193.124726,399996.059784,999979.32836,0.0,0.180351,7,45,26,20,85,27,19,1,25.926,17.22,1.143,7.57,4.62,3.47,0
109,2023.05,2155706.581249,399996.083013,999979.129483,0.0,0.181739,6,49,25,17,83,26,19,0,23.077,16.91,1.143,8.00,5.77,3.64,0
110,2026.84,2149239.519249,399996.015117,999978.986758,0.0,0.18315,8,48,27,16,84,40,29,1,20.000,17.03,1.143,6.88,5.49,4.16,0
111,2029.41,2142791.872774,399995.868349,999978.808877,0.0,0.184604,7,44,26,18,82,29,21,1,24.138,17.09,1.143,7.64,7.22,3.03,0
112,2030.09,2136363.536802,399995.894151,999978.672049,0.0,0.185992,8,50,25,18,82,37,27,1,21.622,17.25,1.143,7.76,7.44,3.30,0
113,2031.09,2129954.48344,399995.833852,999978.505291,0.0,0.187336,7,47,25,19,83,39,28,1,17.949,17.35,1.143,6.19,6.96,3.38,0
114,2028.39,2123564.673698,399995.653249,999978.331586,0.0,0.188795,7,53,26,15,82,30,21,1,23.333,17.33,1.143,7.57,6.05,4.80,0
115,2024.60,2117194.008025,399995.703073,999978.187712,0.0,0.190158,9,50,27,20,84,41,29,1,21.951,17.39,1.143,8.05,5.81,4.74,0
116,2028.57,2110842.464926,399995.485592,999977.914111,0.0,0.191549,8,50,27,19,87,47,34,1,17.021,17.35,1.143,7.97,5.20,3.69,0
117,2024.69,2104510.005305,399995.270042,999977.591711,0.0,0.192994,8,47,27,18,90,46,33,1,17.391,17.20,1.143,7.84,6.10,2.92,0
118,2025.97,2098196.520333,399995.330569,999977.419113,0.0,0.19433,7,51,25,17,91,39,28,1,17.949,17.12,1.143,6.98,7.44,3.61,0
119,2029.71,2091901.996411,399995.234416,999977.300171,0.0,0.195721,8,49,27,18,92,43,31,1,18.605,17.00,1.143,6.33,4.75,4.34,0
120,2031.68,2085626.329492,399995.052976,999977.01126,0.0,0.197088,8,52,26,16,90,32,23,1,25.000,17.13,1.143,6.83,6.52,3.13,0
121,2030.51,2079369.486994,399994.990462,999976.730081,0.0,0.198442,8,52,25,14,91,41,30,1,19.512,17.24,1.143,8.07,5.37,3.21,0
122,2027.26,2073131.401601,399995.094062,999976.556588,0.0,0.199758,7,49,26,18,93,46,33,1,15.217,17.30,1.143,6.81,6.17,3.09,0
123,2028.14,2066912.06457,399994.85903,999976.322559,0.0,0.201106,8,48,25,17,92,36,26,1,22.222,17.20,1.143,7.25,4.51,4.18,0
124,2027.15,2060711.369396,399994.755528,999976.149433,0.0,0.202498,7,45,25,16,90,33,24,1,21.212,17.18,1.143,7.89,7.00,4.72,0
125,2023.10,2054529.282998,399994.699382,999975.971522,0.0,0.203858,6,45,27,18,92,43,31,1,13.953,16.89,1.143,8.13,6.87,3.41,0
126,2024.24,2048365.719787,399994.713339,999975.827043,0.0,0.20516,7,47,25,16,93,42,30,1,16.667,16.94,1.143,7.03,6.06,3.97,0
127,2024.93,2042220.655246,399994.619883,999975.706543,0.0,0.206485,7,50,25,16,93,38,27,1,18.421,17.13,1.143,7.82,6.88,3.27,0
128,2021.46,2036094.058245,399994.586351,999975.590365,0.0,0.207838,8,52,26,18,91,31,22,1,25.806,17.28,1.143,6.46,5.82,3.21,0
129,2020.03,2029985.815461,399994.372831,999975.32909,0.0,0.209196,9,51,25,15,88,28,20,1,32.143,17.26,1.143,6.31,4.68,4.43,0
130,2020.83,2023895.934331,399994.312603,999975.156529,0.0,0.210577,7,45,25,15,87,33,24,1,21.212,17.03,1.143,6.77,5.26,4.33,0
131,2019.07,2017824.310631,399994.344517,999975.007788,0.0,0.211951,7,50,26,17,88,40,29,1,17.500,17.15,1.143,7.21,4.66,4.00,0
132,2019.93,2011770.898381,399994.324349,999974.810021,0.0,0.213289,8,46,25,21,88,35,25,1,22.857,16.82,1.143,6.61,5.96,3.27,0
133,2023.67,2005735.652951,399994.160214,999974.635987,0.0,0.214634,7,44,27,21,86,29,21,1,24.138,16.94,1.143,6.67,5.36,3.02,0
134,2026.31,1999718.494642,399994.251305,999974.546743,0.0,0.21592,8,48,26,20,89,46,33,1,17.391,16.90,1.143,6.22,4.65,4.36,0
135,2028.94,1993719.384317,399994.056578,999974.421837,0.0,0.217224,8,52,26,15,89,37,27,1,21.622,17.11,1.143,7.71,4.71,4.50,0
136,2031.12,1987738.294389,399994.034875,999974.290676,0.0,0.218585,8,50,26,19,88,33,24,1,24.242,17.27,1.143,7.52,5.93,4.00,0
137,2030.19,1981775.166307,399993.879809,999974.145457,0.0,0.219958,7,47,25,19,90,44,32,1,15.909,17.31,1.143,6.55,4.95,4.26,0
138,2033.81,1975829.864176,399993.962436,999974.012046,0.0,0.221231,7,46,26,21,92,42,30,1,16.667,17.15,1.143,6.34,6.97,4.25,0
139,2036.77,1969902.416818,399993.770696,999973.692744,0.0,0.222592,8,50,26,15,91,37,27,1,21.622,16.85,1.143,6.41,5.89,3.70,0
140,2036.21,1963992.737893,399993.852833,999973.567148,0.0,0.223866,8,48,25,18,92,42,30,1,19.048,16.90,1.143,6.80,5.03,4.59,0
141,2037.40,1958100.798482,399993.488171,999973.319104,0.0,0.225197,8,48,25,19,92,41,30,1,19.512,17.05,1.143,7.33,5.95,3.54,0
142,2040.49,1952226.540616,399993.397321,999973.138121,0.0,0.226552,6,46,26,20,92,39,28,1,15.385,17.10,1.143,6.40,6.47,4.21,0
143,2043.36,1946369.894852,399993.495089,999972.912192,0.0,0.227819,8,52,26,15,94,45,32,1,17.778,17.02,1.143,6.63,7.10,4.01,0
144,2040.17,1940530.830842,399993.43939,999972.659854,0.0,0.229084,9,50,26,20,96,45,32,1,20.000,16.74,1.143,6.94,5.53,4.44,0
145,2043.87,1934709.288461,399993.206194,999972.396061,0.0,0.230432,7,51,27,14,94,31,22,1,22.581,16.86,1.143,8.11,5.12,4.67,0
146,2043.34,1928905.218515,399993.054761,999972.238577,0.0,0.231775,6,47,25,16,94,38,27,1,15.789,16.99,1.143,7.31,5.70,4.02,0
147,2045.93,1923118.555417,399993.113836,999972.039616,0.0,0.233119,8,51,26,16,92,31,22,1,25.806,17.15,1.143,6.45,6.23,3.48,0
148,2043.98,1917349.237514,399993.064345,999971.918255,0.0,0.234405,8,51,26,19,93,42,30,1,19.048,16.86,1.143,6.79,5.13,4.48,0
149,2043.75,1911597.246023,399992.950304,999971.665842,0.0,0.23566,8,51,25,17,93,38,27,1,21.053,16.75,1.143,7.46,4.64,4.05,0
150,2039.67,1905862.496969,399992.868479,999971.509302,0.0,0.236998,7,49,27,15,94,42,30,1,16.667,16.65,1.143,7.22,5.78,3.31,0
151,2037.06,1900144.959901,399992.758271,999971.333763,0.0,0.238275,8,50,26,16,94,37,26,1,21.622,16.94,1.143,7.26,6.38,4.38,0
152,2034.08,1894444.576112,399992.574501,999971.031874,0.0,0.239582,7,47,26,17,94,37,26,1,18.919,17.10,1.143,7.53,5.11,3.09,0
153,2034.27,1888761.288365,399992.606747,999970.852495,0.0,0.240812,6,44,25,15,93,35,25,1,17.143,16.91,1.143,6.81,6.55,4.21,0
154,2035.73,1883095.040334,399992.480201,999970.682483,0.0,0.24209,7,50,25,21,94,44,32,1,15.909,16.69,1.143,6.78,7.11,3.90,0
155,2031.71,1877445.793222,399992.514392,999970.558209,0.0,0.243365,7,51,27,16,96,45,32,1,15.556,16.60,1.143,7.30,4.74,4.87,0
156,2032.65,1871813.538921,399992.449914,999970.413414,0.0,0.244676,8,46,25,17,94,32,23,1,25.000,16.61,1.143,7.78,7.00,3.46,0
157,2036.17,1866198.137901,399992.358242,999970.154487,0.0,0.245952,6,45,26,17,93,34,24,1,17.647,16.88,1.143,6.44,6.23,4.62,0
158,2036.32,1860599.582968,399992.298563,999970.044949,0.0,0.247151,7,50,25,21,92,36,26,1,19.444,16.86,1.143,8.20,6.18,3.61,0
159,2036.45,1855017.820952,399992.188583,999969.866353,0.0,0.248378,7,45,25,21,91,36,26,1,19.444,16.90,1.143,7.83,6.02,3.32,0
160,2037.29,1849452.809788,399992.132079,999969.632122,0.0,0.249643,9,50,25,14,91,38,27,1,23.684,17.05,1.143,6.25,6.89,3.31,0
161,2038.70,1843904.488795,399992.024556,999969.464945,0.0,0.250929,7,49,25,21,89,31,22,1,22.581,17.08,1.143,7.89,5.02,3.45,0
162,2036.42,1838372.819474,399992.003082,999969.363372,0.0,0.252186,6,45,26,14,90,40,29,1,15.000,17.21,1.143,6.93,4.63,3.89,0
163,2037.09,1832857.754918,399991.944893,999969.141516,0.0,0.253428,8,44,25,17,91,40,29,1,20.000,17.14,1.143,6.40,6.70,3.97,0
164,2040.95,1827359.243425,399991.796544,999968.99427,0.0,0.25474,7,48,27,14,91,38,27,1,18.421,17.22,1.143,6.63,5.75,3.06,0
165,2038.36,1821877.189139,399991.805684,999968.920729,0.0,0.255916,8,45,26,19,90,36,26,1,22.222,17.14,1.143,7.20,6.81,3.32,0
166,2037.97,1816411.584203,399991.857492,999968.780982,0.0,0.257099,7,46,25,17,91,40,29,1,17.500,17.04,1.143,6.34,5.69,4.17,0
167,2039.37,1810962.396636,399991.758851,999968.669022,0.0,0.258266,8,47,25,20,88,29,21,1,27.586,16.83,1.143,7.94,5.02,3.54,0
168,2038.32,1805529.540953,399991.69591,999968.474135,0.0,0.259464,6,47,25,19,88,35,25,1,17.143,16.90,1.143,6.93,6.30,4.52,0
169,2035.27,1800113.007612,399991.594832,999968.185742,0.0,0.260697,7,49,26,14,90,42,30,1,16.667,16.78,1.143,6.93,7.09,4.14,0
170,2036.97,1794712.700645,399991.377001,999967.978741,0.0,0.261896,8,51,26,20,92,44,32,1,18.182,16.97,1.143,7.75,7.16,4.28,0
171,2040.43,1789328.621121,399991.312736,999967.643584,0.0,0.263168,8,48,26,20,89,29,21,1,27.586,17.11,1.143,6.90,7.32,4.57,0
