step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,marginPoolBalance,stepMarginPoolInflow,stepMarginPoolOutflow,marginPoolInflow,marginPoolOutflow,stepMakerFeesCollected,stepTakerFeesCollected,makerFeeBpsEffective,takerFeeBpsEffective,stepProtocolLiquidationIncome,protocolLiquidationIncome,stepInsuranceFundInflow,stepFundingFeesTransferred,liquidationRemainingMarginAvg,liquidationRemainingMarginMin,liquidationRemainingMarginMax,liquidationRemainingMarginPctAvg,liquidationRemainingMarginPctMin,liquidationRemainingMarginPctMax,isInsolvent
62,2067.40,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,20.16,1.263,17.63,10.00,7.00,64688.420459,0.0,4.4715,0.0,20300.304041,1.4905,2.981,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
63,2078.87,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.263,55.48,33.00,22.00,64688.420459,0.0,0.0,0.0,20300.304041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
64,2075.37,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.263,16.84,10.00,6.00,64688.420459,0.0,0.0,0.0,20300.304041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
65,2054.45,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.263,100.81,60.00,40.00,64688.420459,0.0,0.0,0.0,20300.304041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
66,2047.76,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.263,32.53,19.00,13.00,64688.420459,0.0,0.0,0.0,20300.304041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
67,2071.22,534049.0,84525.792,19390.280041,0.0,447.0915,149.0305,298.061,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.263,114.56,68.00,45.00,64688.420459,0.0,0.0,0.0,20300.304041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
68,2094.81,571171.0,84525.792,19390.280041,0.0,474.933,158.311,316.622,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,5.04,1.244,113.88,68.00,45.00,64660.578959,0.0,27.8415,0.0,20328.145541,9.2805,18.561,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
69,2108.27,571171.0,84525.792,19390.280041,0.0,474.933,158.311,316.622,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.244,64.26,38.00,25.00,64660.578959,0.0,0.0,0.0,20328.145541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
70,2098.13,576771.0,84525.792,19390.280041,0.0,479.133,159.711,319.422,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,5.59,1.241,48.11,28.00,19.00,64656.378959,0.0,4.2,0.0,20332.345541,1.4,2.8,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
71,2072.99,576771.0,84525.792,19390.280041,0.0,479.133,159.711,319.422,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.241,119.80,71.00,47.00,64656.378959,0.0,0.0,0.0,20332.345541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
72,2077.43,576771.0,84525.792,19390.280041,0.0,479.133,159.711,319.422,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.241,21.42,12.00,8.00,64656.378959,0.0,0.0,0.0,20332.345541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
