step,positionId,trader,positionSize,penaltyCollected,rewardPaid,marginReturned,marginLost,insuranceInflow,insuranceOutflow,badDebt
16,70,0xBcd4042DE499D14e55001CcbB24a551F3b954096,2754.0,41.31,22.032,4221.846307,63.342,41.31,0.0,0.0
16,72,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,566.0,8.49,4.528,4805.137984,13.018,8.49,0.0,0.0
17,78,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,340.0,5.1,2.72,4629.776543,7.82,5.1,0.0,0.0
17,80,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,3220.0,48.3,25.76,4794.212032,74.06,48.3,0.0,0.0
17,76,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,3360.0,50.4,26.88,4647.781872,77.28,50.4,0.0,0.0
18,85,0x90F79bf6EB2c4f870365E785982E1f101E93b906,11171.0,167.565,89.368,4111.321125,256.933,167.565,0.0,0.0
18,73,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,566.0,8.49,4.528,4781.079505,13.018,8.49,0.0,0.0
18,75,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,2038.0,30.57,16.304,4702.278371,46.874,30.57,0.0,0.0
18,71,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,2754.0,41.31,22.032,4638.379112,63.342,41.31,0.0,0.0
18,81,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,3220.0,48.3,25.76,4716.887686,74.06,48.3,0.0,0.0
18,79,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,340.0,5.1,2.72,4861.104978,7.82,5.1,0.0,0.0
18,83,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,2939.0,44.085,23.512,4790.30542,67.597,44.085,0.0,0.0
18,77,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,3360.0,50.4,26.88,4726.819721,77.28,50.4,0.0,0.0
19,89,0x976EA74026E726554dB657fA54763abd0C3a0aa9,23615.0,354.225,188.92,3587.139621,543.145,354.225,0.0,0.0
19,91,0x976EA74026E726554dB657fA54763abd0C3a0aa9,12173.0,182.595,97.384,3289.379526,279.979,182.595,0.0,0.0
19,67,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,3818.0,57.27,30.544,4648.221094,87.814,57.27,0.0,0.0
19,69,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,909.0,13.635,7.272,4626.716907,20.907,13.635,0.0,0.0
19,87,0xdD2FD4581271e230360230F9337D5c0430Bf44C0,2631.0,39.465,21.048,4926.6354,60.513,39.465,0.0,0.0
20,93,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,4946.0,74.19,39.568,4607.690986,113.758,74.19,0.0,0.0
21,95,0x976EA74026E726554dB657fA54763abd0C3a0aa9,20456.0,306.84,163.648,2785.74057,470.488,306.84,0.0,0.0
21,97,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,4671.0,70.065,37.368,4601.884872,107.433,70.065,0.0,0.0
22,99,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,805.0,12.075,6.44,4609.933873,18.515,12.075,0.0,0.0
22,101,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,4056.0,60.84,32.448,4540.227394,93.288,60.84,0.0,0.0
23,105,0x90F79bf6EB2c4f870365E785982E1f101E93b906,19527.0,292.905,156.216,3620.036682,449.121,292.905,0.0,0.0
23,103,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,4038.0,60.57,32.304,4422.248552,92.874,60.57,0.0,0.0
25,100,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,4056.0,60.84,32.448,3887.315703,93.288,60.84,0.0,0.0
25,102,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,4038.0,60.57,32.304,4676.754111,92.874,60.57,0.0,0.0
25,98,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,805.0,12.075,6.44,4614.278853,18.515,12.075,0.0,0.0
25,104,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,19527.0,292.905,156.216,4108.173381,449.121,292.905,0.0,0.0
25,108,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,4569.0,68.535,36.552,4422.774305,105.087,68.535,0.0,0.0
25,106,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,7646.0,114.69,61.168,4406.677936,175.858,114.69,0.0,0.0
25,110,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,4461.0,66.915,35.688,4296.462151,102.603,66.915,0.0,0.0
26,112,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,3090.0,46.35,24.72,3483.342704,71.07,46.35,0.0,0.0
27,94,0x90F79bf6EB2c4f870365E785982E1f101E93b906,20456.0,306.84,163.648,3128.952789,470.488,306.84,0.0,0.0
27,114,0x976EA74026E726554dB657fA54763abd0C3a0aa9,427.0,6.405,3.416,2774.989712,9.821,6.405,0.0,0.0
27,96,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,4671.0,70.065,37.368,4500.674588,107.433,70.065,0.0,0.0
