step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
68,2016.01,2438302.354636,385808.004286,964508.888485,0.0,14194.824279,5323.059083,8871.765159,106669.486556,40223.58313,75714.694645,6,10,2526.145232,4736.522344,308505.490868,41,21,15,71,32,23,1,18.750,14.27,1.143,6.61,5.54,4.18,0
69,2018.17,2430987.468427,385911.805194,964768.393145,0.0,14349.573881,5381.090184,8968.48366,108058.621492,40649.363709,75880.970564,4,8,2546.895403,4775.428916,311039.605611,39,21,13,69,22,16,0,18.182,14.21,1.143,7.82,4.40,3.96,0
70,2016.55,2423694.550971,385666.573305,964155.264553,0.0,14566.04953,5462.268552,9103.78094,109443.589055,41274.719947,77119.455394,6,10,2591.78453,4859.59603,316521.690354,41,20,16,68,22,16,0,27.273,14.47,1.143,7.00,5.97,2.91,0
71,2012.53,2416423.508367,384933.643912,962322.862764,0.0,14767.435272,5537.788205,9229.647029,110824.401678,41865.935065,79543.072301,7,12,2638.584936,4947.346791,322237.189982,44,21,12,70,35,25,1,20.000,14.34,1.143,6.70,6.49,3.31,0
72,2013.25,2409174.275589,385196.23685,962979.437228,0.0,14994.228152,5622.835535,9371.392579,112201.071855,42522.509529,79543.072301,6,10,2686.367476,5036.939053,328072.632698,41,20,16,71,32,23,1,18.750,14.24,1.143,6.93,6.79,2.99,0
73,2010.47,2401946.780962,385466.073612,963654.203386,0.0,15234.465873,5712.92468,9521.541155,113573.612012,43197.275687,79543.072301,5,9,2725.925797,5111.110906,332903.692732,40,21,13,70,23,16,0,21.739,14.46,1.143,6.48,5.10,4.32,0
74,2010.49,2394740.970923,385621.832415,964043.596378,0.0,15372.349708,5764.631118,9607.718552,114942.034557,43586.668679,79543.072301,5,10,2749.756945,5155.794309,335814.07172,45,20,14,70,23,16,0,21.739,14.46,1.143,6.74,5.11,4.65,0
75,2007.82,2387556.779431,385046.154565,962604.160857,0.0,15546.112093,5829.792012,9716.320042,116306.351861,44074.955248,81470.794391,5,9,2778.493268,5209.674914,339323.495188,38,21,12,70,25,18,0,20.000,14.40,1.143,7.61,4.65,3.22,0
76,2010.45,2380394.158094,385273.198957,963172.033502,0.0,15775.061837,5915.648166,9859.413632,117666.576168,44704.746613,81532.713111,4,8,2809.11567,5267.091918,343063.256111,38,21,16,71,30,21,1,13.333,14.24,1.143,6.05,5.22,3.52,0
77,2013.80,2373253.008791,385479.918756,963688.803199,0.0,15958.929048,5984.59837,9974.330638,119022.719816,45221.51631,81532.713111,5,9,2839.569893,5324.193587,346782.478198,41,21,15,70,23,16,0,21.739,14.37,1.143,6.74,7.11,3.68,0
