step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
67,2012.19,111869.0,55473.405,19256.475,0.0,1046.7255,348.9085,697.817,0.000077,19256.475,0.0,19256.475,5,5,10270.12,19256.475,912922.597055,0,1,11,0,6,2,4,83.333,9.38,0.260,19.09,11.00,7.00,0
68,2016.01,106431.0,54997.213,19567.035,0.0,1058.175,352.725,705.45,0.000077,19567.035,0.0,19567.035,6,6,10435.752,19567.035,934469.906047,0,3,13,0,6,6,0,100.000,9.43,0.405,18.98,11.00,7.00,0
69,2018.17,100462.0,54821.654,19681.53,0.0,1059.423,353.141,706.282,0.000077,19681.53,0.0,19681.53,3,3,10496.816,19681.53,943059.189611,0,1,13,0,6,2,4,50.000,9.53,0.457,10.71,6.00,4.00,0
70,2016.55,120520.0,54802.518,19694.01,0.0,1075.0905,358.3635,716.727,0.000077,19694.01,0.0,19694.01,1,1,10503.472,19694.01,946105.439321,0,3,13,0,6,6,0,16.667,9.61,0.518,8.02,4.00,3.00,0
71,2012.53,102442.0,54386.724,19965.18,0.0,1075.0905,358.3635,716.727,0.000108,19965.18,0.0,19965.18,6,6,10648.096,19965.18,966622.377446,0,0,12,0,6,0,6,100.000,9.61,0.290,19.97,11.00,7.00,0
72,2013.25,107122.0,54386.724,19965.18,0.0,1078.6005,359.5335,719.067,0.000108,19965.18,0.0,19965.18,0,0,10648.096,19965.18,966622.377446,0,2,13,0,6,4,2,0.000,9.74,0.311,3.57,2.00,1.00,0
73,2010.47,110587.0,54274.231,20038.545,0.0,1084.8675,361.6225,723.245,0.000108,20038.545,0.0,20038.545,3,3,10687.224,20038.545,975332.63195,0,2,14,0,6,4,2,50.000,9.66,0.287,13.79,8.00,5.00,0
74,2010.49,129383.0,54178.137,20101.215,0.0,1102.098,367.366,734.732,0.000108,20101.215,0.0,20101.215,2,2,10720.648,20101.215,980891.498332,0,1,13,0,6,2,4,33.333,9.63,0.388,0.11,0.00,0.00,0
75,2007.82,116047.0,53543.797,20514.915,0.0,1112.781,370.927,741.854,0.000108,20514.915,0.0,20514.915,5,5,10941.288,20514.915,997007.796718,0,2,13,0,6,4,2,83.333,9.70,0.157,13.30,7.00,5.00,0
76,2010.45,121827.0,53379.991,20621.745,0.0,1122.4575,374.1525,748.305,0.000108,20621.745,0.0,20621.745,2,2,10998.264,20621.745,1004720.56416,0,2,15,0,6,4,2,33.333,9.72,0.222,13.10,7.00,5.00,0
77,2013.80,108345.0,52913.597,20925.915,0.0,1127.5545,375.8515,751.703,0.000108,20925.915,0.0,20925.915,5,5,11160.488,20925.915,1017743.789486,0,1,12,0,6,2,4,83.333,9.69,0.309,16.68,10.00,6.00,0
78,2011.65,142047.0,52835.443,20976.885,0.0,1155.3795,385.1265,770.253,0.000108,20976.885,0.0,20976.885,1,1,11187.672,20976.885,1020680.570383,0,2,13,0,6,4,2,16.667,9.68,0.402,10.70,6.00,4.00,0
79,2013.80,132077.0,52408.793,21255.135,0.0,1161.8145,387.2715,774.543,0.000108,21255.135,0.0,21255.135,2,2,11336.072,21255.135,1026397.583793,0,1,13,0,6,2,4,33.333,9.66,0.517,10.69,6.00,4.00,0
80,2012.16,139413.0,52310.123,21319.485,0.0,1170.534,390.178,780.356,0.000108,21319.485,0.0,21319.485,1,1,11370.392,21319.485,1029762.000333,0,2,13,0,6,4,2,16.667,9.68,0.501,8.14,4.00,3.00,0
81,2014.28,139822.0,51999.6,21522.0,0.0,1180.9665,393.6555,787.311,0.000108,21522.0,0.0,21522.0,4,4,11478.4,21522.0,1042965.053321,0,3,13,0,6,6,0,66.667,9.86,0.619,10.53,6.00,4.00,0
82,2017.96,152000.0,51599.4,21783.0,0.0,1203.15,401.05,802.1,0.000108,21783.0,0.0,21783.0,6,6,11617.6,21783.0,1061792.695222,0,3,13,0,6,6,0,100.000,9.76,0.815,18.28,10.00,7.00,0
83,2015.23,151337.0,51259.253,22004.835,0.0,1213.7445,404.5815,809.163,0.000117,22004.835,0.0,22004.835,3,3,11735.912,22004.835,1068523.376892,0,2,13,0,6,4,2,50.000,9.71,0.667,13.51,8.00,5.00,0
84,2018.20,134355.0,50737.521,22345.095,0.0,1218.021,406.007,812.014,0.000117,22345.095,0.0,22345.095,6,6,11917.384,22345.095,1084177.074081,0,2,11,0,6,4,2,100.000,9.64,0.893,14.74,8.00,5.00,0
85,2021.80,103237.0,50021.807,22811.865,0.0,1218.021,406.007,812.014,0.000117,22811.865,0.0,22811.865,10,10,12166.328,22811.865,1117460.388838,0,0,10,0,6,0,6,166.667,9.64,1.591,17.82,10.00,7.00,0
